epoch, iou_loss, l1_loss, obj_loss, cls_los,
   36, 1.415,0.6143,0.7026,0.5164,
   37, 1.348,0.6055,0.6967,0.5099,
   38, 1.365,0.6076,0.6964,0.5067,
   39, 1.322,0.6095,0.7226,0.5094,
   40, 1.377,0.6061,0.6849,0.5073,
   41, 1.372,0.6148,0.7112,0.5105,
   42, 1.355,0.6031,0.7212,0.5066,
   43, 1.353,0.5995, 0.702,0.5071,
   44, 1.348,0.6095,0.6732,0.5111,
   45, 1.346,0.6102,0.6925,0.5095,
   46, 1.328,0.5993,0.6896, 0.505,
   47, 1.339,0.5898,0.6713,0.5012,
   48, 1.333,0.6006,0.7011,0.5059,
   49, 1.298,0.5828,0.6729,0.4982,
   50, 1.313,0.5972,0.6507,0.5044,
   51, 1.344,0.5905,0.6626,0.4996,
   52, 1.342,0.5936,0.6971,0.4969,
   53, 1.325, 0.591,0.6751, 0.505,
   54, 1.295,0.5812,0.6625,0.4972,
   55, 1.283,0.5746,0.6526, 0.495,
   56, 1.302, 0.589,0.6812,0.5003,
   57,  1.27,0.5883,0.6644,0.4985,
   58, 1.272,0.5829,0.6603,0.4961,
   59, 1.296,0.5742,0.6524,0.4915,
   60, 1.296,0.5755,0.6741,0.4968,
   61, 1.262,0.5606,0.6363,0.4894,
   62,  1.28,0.5622, 0.642,0.4919,
   63, 1.306,0.5677,  0.63,0.4908,
   64, 1.283,0.5533, 0.608,0.4864,
   65, 1.301,0.5745,0.6392,0.4961,
   66, 1.275,0.5687,0.6654,0.4923,
   67, 1.267,0.5491,0.6451, 0.483,
   68, 1.332,0.5669,0.6619,0.4913,
   69, 1.319,  0.56,0.6109,0.4879,
   70, 1.277,0.5611, 0.614,0.4869,
   71, 1.344,0.5582,0.6277,  0.49,
   72, 1.302,0.5464,0.6353,0.4842,
   73, 1.243,0.5466,0.6295,0.4879,
   74, 1.247,0.5516,0.6228,0.4838,
   75, 1.276,0.5442,0.6052,0.4819,
   76, 1.274,0.5521, 0.592,0.4824,
   77, 1.265,0.5615,0.6165,0.4847,
   78, 1.222,0.5388, 0.612, 0.481,
   79, 1.259,0.5437,0.6039,0.4883,
   80, 1.227,0.5412,0.5856,0.4744,
   81,  1.29,0.5537,0.6348,0.4852,
   82, 1.238, 0.534,0.6149,0.4759,
   83, 1.232,0.5483,0.5952,0.4799,
   84, 1.232,0.5486,0.6191,0.4802,
   85, 1.245,0.5398,0.6139,0.4815,
   86, 1.222,0.5358,0.6045, 0.478,
   87,  1.22,0.5337,0.5925,0.4747,
   88, 1.197,0.5264,0.6054,0.4768,
   89, 1.223,0.5273,0.5837,0.4759,
   90, 1.211,0.5376,0.5921,0.4752,
   91, 1.279,0.5457,0.6242,0.4777,
   92,  1.25,0.5277,0.5701,0.4757,
   93,  1.22,0.5199,0.5878,0.4691,
   94, 1.198,  0.52,0.5921,0.4709,
   95, 1.213,0.5233,0.6031,0.4736,
   96, 1.221,0.5304, 0.579,0.4777,
   97, 1.272,0.5357,0.5972,0.4729,
   98, 1.259,0.5228,0.5776,0.4704,
   99, 1.179,  0.51,0.5585,0.4651,
   00, 1.237,0.5212,0.5707,0.4664,
   01, 1.193,0.5085, 0.554,0.4663,
   02, 1.211,0.5117, 0.583,0.4712,
   03, 1.237,0.5111, 0.586,0.4669,
   04, 1.175,0.5113,0.5633,0.4662,
   05, 1.209,0.5065,0.5641,0.4638,
   06, 1.203,0.5086,0.5595,0.4651,
   07, 1.178,0.5085,0.5642,0.4627,
   08, 1.195, 0.508,0.5539,0.4617,
   09,   1.2,0.5096, 0.569,0.4648,
   10, 1.144,0.4972,0.5405,0.4615,
   11, 1.168,0.5091,0.5564,0.4626,
   12, 1.169,0.5014,0.5476,0.4615,
   13, 1.197,0.5138,0.5765,0.4652,
   14, 1.202,0.5123, 0.573,0.4647,
   15, 1.235,0.5076,0.5611,0.4654,
   16,  1.18,0.4944,0.5409, 0.459,
   17, 1.158,0.4967, 0.543,0.4608,
   18, 1.204,0.4974,0.5414,0.4576,
   19, 1.196,0.5037,0.5528,0.4587,
   20,  1.18,0.4881,0.5433,0.4569,
   21,  1.16,0.4905,0.5377,0.4565,
   22, 1.184,0.4907,0.5323, 0.454,
   23, 1.202,0.5037,0.5552,0.4592,
   24, 1.191,0.5015,  0.55,0.4587,
   25, 1.206,0.4921,0.5555, 0.452,
   26, 1.157,0.4813,0.5198,0.4536,
   27, 1.168,0.4867,0.5397,0.4521,
   28, 1.162,0.4829,0.5393,0.4525,
   29, 1.144, 0.481,0.5184,0.4559,
   30, 1.172,0.4825,0.5314,0.4488,
   31, 1.153, 0.472,0.5002, 0.446,
   32,  1.16,0.4864,0.5252,0.4511,
   33, 1.136,0.4737,0.5056,0.4455,
   34, 1.214,0.4927,0.5265,0.4523,
   35, 1.153,0.4763,0.5171,0.4449,
   36, 1.153, 0.458,0.5104,0.4412,
   37, 1.141,0.4651, 0.534,0.4436,
   38, 1.139,0.4731,0.5291,0.4435,
   39, 1.128,0.4617,0.5168,0.4392,
   40, 1.168,0.4769,0.5224,0.4456,
   41, 1.155,0.4648,0.4991,0.4403,
   42,  1.05, 0.457,0.5024,0.4391
